,probability
119,0.34150462489283645
120,0.09719537985684451
121,0.005119089055640426
122,0.09607685384388315
123,0.03410433350763365
124,0.2868203216460076
125,0.152535942108273
126,0.34031917259645683
127,0.23230013435792635
128,0.008521263722109833
129,0.11436210233720463
130,0.36427543642524196
131,0.06763679024007173
132,0.013353318876909624
133,0.2806586745832916
134,0.0421139625424082
135,0.07660216730379295
136,1.25e-05
137,0.03956142017799847
138,0.0005992147288039036
139,0.022827589868367523
140,0.056396070772262524
141,0.4722555063085349
142,0.2632372297664797
143,0.12383861505629214
144,0.2887072616689164
145,0.15581503673825173
146,0.3334383932055993
147,0.0871203740391203
148,0.09035777616476919
149,0.41013732534458996
150,0.42473397747494457
151,0.4587391125642876
152,0.00830952380952381
153,0.38438331882162124
154,0.01911570084940851
155,0.210494932578118
156,0.19248063034313426
157,0.006488888888888889
158,0.06890031517088958
159,0.17250155803261044
160,0.18688842255207233
161,0.09398708971772128
162,0.17701084750477014
163,0.27950166783384883
164,3.773584905660377e-05
165,0.10343488308586243
166,0.26833182133527445
167,0.04697971921585236
168,0.3531820337407873
169,0.06997348911654627
170,0.29823222991304227
171,0.16870973132232459
172,0.01548713344076428
173,0.15542734535628638
174,0.009486693793340337
175,0.26104039802677986
176,0.09359401912629074
177,0.4854953696586823
178,0.2645620389659471
179,0.0623679985687057
180,0.05526234699369022
181,0.4854953696586823
182,0.12387412451969758
183,0.02532430753412104
184,0.17241618720388158
185,0.05964524109002949
186,0.10249258997916111
187,0.09255145908525521
188,0.23817257573886172
189,0.04792748056981989
190,0.003709090909090909
191,0.2761054231559942
192,0.10057362706626657
193,0.31169093344535925
194,0.16419180220395946
195,0.22015447533930307
196,0.12944882437441924
197,0.2853971896984233
198,0.46300650755312056
199,0.3682067610523789
200,0.23466299729524243
201,0.1239494488057788
202,0.2688444824454396
203,0.0024039118336278203
204,0.1496723513046265
205,0.038916400789543004
206,0.16366624018805873
207,0.5162264554327479
208,0.11585183700275589
