,probability
99,0.053853023769204915
100,0.07659592168212957
101,0.43483080884744224
102,0.033544378838562205
103,0.02178926601154169
104,0.18677118270812354
105,0.072935148343425
106,0.2991287124167631
107,0.3592723639838084
108,0.08367560142646266
109,0.14476605366840237
110,0.042032708196768784
111,0.05907625022075374
112,0.21754641329445054
113,0.007899570713273319
114,0.014800245464618493
115,0.06544986636584037
116,0.26451781142394654
117,0.1080100881011872
118,0.4147398484163483
119,0.31888140387280084
120,0.07675328580696407
121,0.04095490503916642
122,0.1696045932037103
123,0.06677676048369126
124,0.22192271674674793
125,0.17472799868067423
126,0.3657750029278139
127,0.26037834973811813
128,0.1153041840836372
129,0.10443431984852015
130,0.4015877490374284
131,0.13345913709953566
132,0.03307959267834519
133,0.2784672158863301
134,0.08824037479483816
135,0.059767846667450615
136,0.016390063140762693
137,0.17168176429663617
138,0.020166121851140337
139,0.07896160682106543
140,0.2805493590970596
141,0.3919475468673016
142,0.13245287359557228
143,0.13210399537924652
144,0.3899442196355887
145,0.24458853616714912
146,0.2250378057032989
147,0.15487476117367663
148,0.12653430502297172
149,0.2598094577158912
150,0.30227790327331217
151,0.4446359671475047
152,0.025940219893502422
153,0.33252389231146623
154,0.038222609114907984
155,0.2639106360013012
156,0.26263913784762477
157,0.020389886234335824
158,0.1516348935240175
159,0.302603787569064
160,0.2555647252393378
161,0.15869573983365934
162,0.2222402016278896
163,0.07736608410069007
164,0.027146672473001312
165,0.2189303419902118
166,0.2554782564587066
167,0.035831979219108086
168,0.3491935360838118
169,0.15210447311986197
170,0.30711740972316515
171,0.2876623083754313
172,0.10956925444985399
173,0.2549996862058542
174,0.043112034105924124
175,0.24616928592237675
176,0.25965437540071906
177,0.47968845428136286
178,0.2688383265786074
179,0.08578026833235806
180,0.08783687499945464
181,0.47968845428136286
182,0.10259141087293139
183,0.04680068959001856
184,0.2044708932450167
185,0.09302908956771838
186,0.08683183166438764
187,0.0943888359447549
188,0.19248349115607427
189,0.06356844405744749
190,0.007231493296785119
191,0.2697211875901616
192,0.06224503545276576
193,0.25346902886017547
194,0.18933136235362372
195,0.22886974232788196
196,0.07793586687963773
197,0.18459821731461865
198,0.46230844376927305
199,0.4041394787972482
200,0.29378832900956575
201,0.1842022319487629
202,0.26766486152723634
203,0.05289858872432122
204,0.21947674629901404
205,0.03166050206209869
206,0.12137781957640527
207,0.4175601363078706
208,0.29534275580394614
209,0.061463384213767
210,0.2068839885489184
211,0.3593328804165994
212,0.3794628633247037
213,0.10118278722443204
214,0.19738735481815728
215,0.1076399655995476
216,0.21766922919076503
217,0.07375444838894585
218,0.12082203113068966
219,0.4230680599410037
220,0.23439375619310832
221,0.18602073852077897
222,0.0759134809642141
223,0.3429164505792407
224,0.19037218241898196
225,0.14407995278455976
226,0.21789324834862495
227,0.2716197091568095
228,0.020186553528324314
229,0.12229298797443162
230,0.053172178994208806
231,0.30279068072961146
232,0.038339682777165464
233,0.049932273343262085
234,0.07671027327683118
235,0.17828673397606495
236,0.27411104942341036
237,0.26910696157396163
238,0.2218049295610708
239,0.3028115732948669
240,0.15894014608040027
241,0.2990337013816628
242,0.14815296183223373
243,0.22580228753658407
244,0.1376193301773563
245,0.2696392930176557
246,0.1798735156803392
247,0.25137031132843496
248,0.22941530336912627
249,0.023446616330463445
250,0.47968845428136286
251,0.043352582031713556
252,0.2179978059394959
253,0.18229906288892114
254,0.4382152576812074
255,0.2850871307955918
256,0.21996083996826338
257,0.23561721203806335
258,0.03337250286469507
259,0.33525924903813614
260,0.2508641757446967
261,0.06994550217373556
